year,track_id,track_name,artist_name,album_name,plays,total_minutes,skip_rate,shuffle_rate,has_features
2021,3hJLKtTpgct9Y9wKww0BiR,Miss You - Remastered,The Rolling Stones,Some Girls,34,62.14,0.5,0.0,True
2021,6qQGxKyy6LcyZVsWn93lyS,Pink Triangle,Weezer,Pinkerton,34,28.6,0.6765,0.0,True
2021,3TZwjdclvWt7iPJUnMpgcs,Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),33,55.69,0.3636,0.0,True
2021,3stWWPN41byqp8loPdy92u,Master of None,Beach House,Beach House,33,51.83,0.5152,0.0,True
2021,5dnvWWkwwFJoDDc0QoSbvf,Is It Any Wonder?,Durand Jones & The Indications,Durand Jones & The Indications,33,50.73,0.6364,0.0,True
2021,62ZXL1CWLJDiDWUZUhfLfU,Dopamine,BØRNS,Dopamine,33,57.55,0.4242,0.0606,True
2021,6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,31 Minutes to Takeoff,33,49.9,0.5455,0.0,True
2021,1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,Kanye West,My Beautiful Dark Twisted Fantasy,32,51.83,0.4062,0.0,True
2021,2TeYAizye4GlmzQq5zyf91,The Physical Attractions,The Symposium,The Symposium,32,28.37,0.8125,0.125,True
2021,4PJxptsSC9S89hTO8gRCv3,Piledriver waltz,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,32,64.71,0.4062,0.0,True
2021,5EYi2rH4LYs6M21ZLOyQTx,Loving Is Easy (feat. Benny Sings),Rex Orange County,Loving Is Easy (feat. Benny Sings),32,35.94,0.5,0.0,True
2021,5dmPNuHmRRJuHmJTDa7NuJ,Bambi,Hippo Campus,Bambi,32,29.67,0.7188,0.0,True
2021,2IDaot6HBRmqldvBjCp0iA,Dug My Heart,BØRNS,Dopamine,31,35.28,0.5806,0.0,True
2021,2VMJkgrhqfOOYBlZif2nvX,She Wants My Money,Dominic Fike,"Don't Forget About Me, Demos",31,29.47,0.5484,0.0,True
2021,5ZaQW8tvH33GVJ0E3sLz2w,Misty Morning,Travis Bretzer,Bitter Suites,31,22.24,0.7097,0.0,True
2021,5bJ1DrEM4hNCafcDd1oxHx,Self Care,Mac Miller,Swimming,31,38.11,0.6452,0.0,True
2021,6EvUAsfncetT0RcWshHCbl,I'll Come Too,James Blake,Assume Form,31,85.23,0.3226,0.0,True
2021,0SBariQWfKjoslW2XSIFOm,Seventeen,Peach Pit,Sweet FA,30,38.49,0.6333,0.0,True
2021,0U3u0HdRQjD8mAMYBak4Ok,Saw You In A Dream,The Japanese House,Saw You In A Dream,30,44.28,0.5667,0.0,True
2021,3Pu3IChaAoa5EjgUBv5F6x,Ballroom Blitz,Sweet,Desolation Boulevard,30,46.7,0.5333,0.0,True
2021,0FgNSsaSZTvbLXUumSO8LQ,Star Treatment,Arctic Monkeys,Tranquility Base Hotel & Casino,29,44.4,0.6552,0.0,True
2021,1HYnjKqSSHh1tdl2Hi57zH,"Wasteland, Baby!",Hozier,"Wasteland, Baby!",29,48.74,0.4828,0.0345,True
2021,1Xtz05nIgJiEYdncfd1w8h,Soledad y el Mar (feat. Los Macorinos),Natalia Lafourcade,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",29,56.13,0.3793,0.0,True
2021,2pA4ip3VIEVcIa3qE02oAX,"10,000 Emerald Pools",BØRNS,Dopamine,29,59.72,0.2414,0.1034,True
2021,2zPANzQTt5Nbkg0eBPb7HI,There Will Never Be Another You - Vocal Version,Chet Baker,Chet Baker Sings,29,25.61,0.6897,0.0,True
2021,4V0x90QcMh4ZxwHzEWOdtK,Feel It All Around,Washed Out,Life of Leisure,29,27.2,0.6897,0.0345,True
2021,6LOZws7T3jqZz78unPgFF9,Dead To Me,Kali Uchis,Isolation,29,45.28,0.4828,0.0,True
2021,6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,Riot!,29,19.64,0.7241,0.0,True
2021,6gU7ohksNd6LsEJMWfDRhp,Soma,The Strokes,Is This It,29,52.28,0.2414,0.0,True
2021,7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),Daniel Caesar,Freudian,29,51.37,0.5517,0.0,True
2021,09x9v1o51dbqi5H0u7UGfp,I Will - Remastered 2009,The Beatles,The Beatles,28,22.7,0.5357,0.0,True
2021,11EOvxJRG665bwRU0z6YVa,Luna,Bombay Bicycle Club,"So Long, See You Tomorrow",28,44.9,0.4643,0.0357,True
2022,1XGwjdHXHNu3842f75eg3T,The Waiting,Angel Olsen,Half Way Home,246,726.42,0.2561,0.0041,True
2022,5Wyy2JHaM8cKEN6YDC6C8O,Pressure To Party,Julia Jacklin,Crushing,150,307.94,0.3067,0.0067,True
2022,4BMk6XhlXJW7ZgIS8vSBZk,Caderas Blancas,Mon Laferte,Norma,120,328.65,0.2,0.025,True
2022,4aCnN8VmKVqX4PnSB1Ie07,"Creator, Destroyer",Angel Olsen,Strange Cacti,117,275.32,0.3077,0.0171,True
