track_id,track_name,artist_name,album_name,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,key,mode,loudness,time_signature,total_plays,total_minutes,avg_skip_rate,years_active
2TeYAizye4GlmzQq5zyf91,The Physical Attractions,The Symposium,The Symposium,Indie,43,0.00163,0.363,0.499,0.522,0.123,0.0335,0.532,137.804,F,Minor,-10.099,4/4,32,28.4,0.812,[2021]
5EYi2rH4LYs6M21ZLOyQTx,Loving Is Easy (feat. Benny Sings),Rex Orange County,Loving Is Easy (feat. Benny Sings),Pop,80,0.217,0.756,0.609,0.00474,0.096,0.0544,0.537,117.023,D#,Major,-7.927,4/4,32,35.9,0.5,[2021]
1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,Kanye West,My Beautiful Dark Twisted Fantasy,Pop,66,0.0175,0.433,0.76,0.0,0.158,0.0726,0.205,79.789,G#,Minor,-4.935,4/4,32,51.8,0.406,[2021]
1TYRcvY3JTYoLVhADPpDH5,Red Light Indicates Doors Are Secured,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Indie,46,0.00316,0.622,0.846,0.0,0.0989,0.0311,0.914,110.683,B,Minor,-4.831,4/4,32,50.1,0.375,[2022]
5dmPNuHmRRJuHmJTDa7NuJ,Bambi,Hippo Campus,Bambi,Rock,66,0.0661,0.739,0.471,9.78e-05,0.116,0.0436,0.31,90.002,G#,Major,-8.456,4/4,32,29.7,0.719,[2021]
5G1sTBGbZT5o4PNRc75RKI,Lonely Boy,The Black Keys,El Camino,Rock,72,0.00417,0.356,0.872,0.00975,0.0997,0.068,0.607,166.3,D,Major,-7.837,4/4,32,30.8,0.667,"[2023, 2024]"
1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77,Dance,72,0.0707,0.721,0.521,0.00552,0.127,0.0612,0.942,123.118,D,Major,-8.123,4/4,32,32.5,0.558,"[2022, 2024]"
45QyGXbqTWaFUrIKe2ugs3,D Is for Dangerous,Arctic Monkeys,Favourite Worst Nightmare,Rock,49,1.05e-05,0.551,0.928,0.000108,0.145,0.0365,0.736,145.057,C#,Major,-4.776,4/4,31,28.5,0.514,"[2023, 2024]"
2jggaUpOvn2G6Pv2HCEU6m,Esa noche,Café Tacvba,Re,Children’s Music,62,0.768,0.738,0.418,0.0,0.135,0.032,0.592,134.855,F#,Minor,-9.452,4/4,31,43.3,0.484,[2023]
5bJ1DrEM4hNCafcDd1oxHx,Self Care,Mac Miller,Swimming,Pop,81,0.367,0.52,0.538,0.00187,0.119,0.206,0.177,141.894,C#,Major,-8.109,4/4,31,38.1,0.645,[2021]
5ZaQW8tvH33GVJ0E3sLz2w,Misty Morning,Travis Bretzer,Bitter Suites,Indie,44,0.55,0.696,0.299,0.00014,0.131,0.0354,0.223,143.188,G,Major,-11.433,4/4,31,22.2,0.71,[2021]
0qRR9d89hIS0MHRkQ0ejxX,Rich Girl,Daryl Hall & John Oates,Bigger Than Both Of Us,Folk,68,0.461,0.573,0.683,0.0,0.0935,0.176,0.817,169.519,F,Major,-6.644,4/4,31,48.4,0.379,"[2024, 2025, 2026]"
2VMJkgrhqfOOYBlZif2nvX,She Wants My Money,Dominic Fike,"Don't Forget About Me, Demos",Alternative,63,0.771,0.704,0.478,0.000516,0.0875,0.047,0.42,128.789,A,Major,-6.562,4/4,31,29.5,0.548,[2021]
2IDaot6HBRmqldvBjCp0iA,Dug My Heart,BØRNS,Dopamine,Indie,53,0.024,0.571,0.811,0.000191,0.121,0.0903,0.601,166.066,A,Major,-5.497,4/4,31,35.3,0.581,[2021]
0Juciz8gOjrO89qw5KwQV5,Call Me Irresponsible - 2001 Remaster,Bobby Darin,From Hello Dolly To Goodbye Charlie,Soul,45,0.695,0.607,0.347,0.0,0.121,0.0369,0.644,125.485,G,Major,-12.241,4/4,30,34.8,0.367,[2022]
3Pu3IChaAoa5EjgUBv5F6x,Ballroom Blitz,Sweet,Desolation Boulevard,Rock,58,0.0821,0.644,0.799,0.00154,0.055,0.0598,0.889,108.382,E,Minor,-10.856,4/4,30,46.7,0.533,[2021]
0U3u0HdRQjD8mAMYBak4Ok,Saw You In A Dream,The Japanese House,Saw You In A Dream,Indie,62,0.0729,0.605,0.446,0.0,0.149,0.028,0.685,94.044,E,Major,-8.244,4/4,30,44.3,0.567,[2021]
7LngfsOr2JVe4y7VXnjqvn,Alive & Amplified,The Mooney Suzuki,Alive & Amplified,Blues,35,0.00014,0.314,0.983,0.000487,0.282,0.12,0.516,184.084,D,Major,-3.228,4/4,30,21.6,0.767,[2022]
0SBariQWfKjoslW2XSIFOm,Seventeen,Peach Pit,Sweet FA,Rock,57,0.00837,0.559,0.89,0.00759,0.103,0.0387,0.809,91.509,B,Major,-5.188,4/4,30,38.5,0.633,[2021]
3e5eR2DBoHD2qR4HN3YmTv,Whole Wide World,Bahamas,Pink Strat,Folk,62,0.598,0.731,0.447,0.000279,0.116,0.0386,0.595,108.838,F,Major,-9.038,4/4,29,37.5,0.448,[2022]
4V0x90QcMh4ZxwHzEWOdtK,Feel It All Around,Washed Out,Life of Leisure,Alternative,62,0.000105,0.34,0.737,0.762,0.0699,0.0582,0.499,172.022,G#,Major,-4.681,4/4,29,27.2,0.69,[2021]
2vVHf43MQ8V3gDbo8HRlnJ,Perhaps Vampires Is A Bit Strong But…,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Indie,48,0.000293,0.371,0.914,8.75e-05,0.0852,0.081,0.394,134.982,B,Minor,-4.917,4/4,29,36.8,0.655,[2022]
0ZRrJTPXDToRJ2iLo9oLrW,When The Sun Goes Down,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Rock,59,0.0341,0.348,0.875,0.0,0.117,0.199,0.407,169.152,B,Minor,-4.758,4/4,29,42.5,0.517,[2022]
2pA4ip3VIEVcIa3qE02oAX,"10,000 Emerald Pools",BØRNS,Dopamine,Rock,66,0.00694,0.568,0.578,0.000353,0.099,0.0404,0.555,139.951,F#,Major,-5.589,4/4,29,59.7,0.241,[2021]
1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,Clairo,Flaming Hot Cheetos,Pop,74,0.865,0.817,0.551,0.000151,0.101,0.133,0.142,109.966,G,Minor,-9.33,4/4,29,35.6,0.379,[2022]
